dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,grade,grade_date
DUNKIN',Queens,1311020,MERRICK BLVD,,7185274653,Donuts,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,0,0,,,,,4,,A,2020-01-02T00:00:00.000
DUNKIN',Queens,1311020,MERRICK BLVD,,7185274653,Donuts,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,0,0,,,,,4,,A,2020-01-02T00:00:00.000
EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,83,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,,
FAMOUS FAMIGLIA PIZZERIA,Manhattan,1398,MADISON AVENUE,10029,2129969797,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,43,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.78787565,-73.9536931,111,4,16002,1051455,1016020058,MN33,Z,2020-01-02T00:00:00.000
CON SABOR A MEXICO,Manhattan,711,WEST  181 STREET,10033,2125683830,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85033492,-73.9362811,112,10,27100,1064412,1021800090,MN35,A,2020-01-02T00:00:00.000
SUBWAY,Manhattan,3920,BROADWAY,10032,2127409180,Sandwiches/Salads/Mixed Buffet,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02D,"Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140Âº F within 2 hours.",Y,53,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83852989,-73.94159418,112,7,24500,1062926,1021220069,MN36,,
VEYTAS BAKERY CAFE & RESTAURANT,Queens,9201,ROOSEVELT AVE,11372,7184248680,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74862677,-73.87453676,403,21,27500,4036463,4014800045,QN28,A,2020-01-02T00:00:00.000
SHAXIAN DELICACIES,Brooklyn,811,49 STREET,11220,7186665350,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.64138023,-74.00263039,312,38,10800,3012805,3007780001,BK34,A,2020-01-02T00:00:00.000
SAMBAK SAMBABJIP,Queens,4111,150TH ST,11355,7184611212,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,21,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76235044,-73.81379667,407,20,116700,4114917,4050580016,QN51,B,2020-01-02T00:00:00.000
SABOR A MEXICO II,Manhattan,233,EAST   77 STREET,10075,2124398301,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77260802,-73.95740081,108,4,13400,1044102,1014320013,MN31,A,2020-01-02T00:00:00.000
CARIBBEAN STARR,Manhattan,280,LENOX AVENUE,10027,9172617668,Caribbean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,25,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80718704,-73.94589513,110,9,20000,1083974,1017220001,MN11,,
ANGELO'S PIZZA,Brooklyn,2117,CORTELYOU ROAD,11226,7182843054,Pizza/Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,22,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.6440186,-73.95820752,314,40,51400,3118557,3051520012,BK42,B,2020-01-02T00:00:00.000
EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Y,83,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,,
RED LOBSTER,Manhattan,261,WEST  125 STREET,10027,2122801930,Seafood,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80982675,-73.95033627,110,9,22200,1089941,1019310006,MN11,,
POPEYES,Bronx,4399,WHITE PLAINS ROAD,10466,7186531100,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.89826847,-73.8544487,212,11,41800,2069778,2050420029,BX62,,
KASHMIR 9,Manhattan,478,9 AVENUE,10018,2127367745,Pakistani,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10J,"""""Wash handsâ€ sign not posted at hand wash facility.",N,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75507133,-73.99506227,104,3,11100,1013610,1007600076,MN13,A,2020-01-02T00:00:00.000
KENNEDY FRIED CHICKEN,Manhattan,1270,SAINT NICHOLAS AVENUE,10033,3473197841,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84450014,-73.93723727,112,10,26100,1063119,1021300008,MN36,A,2020-01-02T00:00:00.000
QUEEN BAKERY II,Manhattan,139,CENTRE STREET,10013,2129650788,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,46,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71721016,-74.00060243,101,1,3100,1002357,1001977502,MN24,,
MILK N' HONEY,Manhattan,160,BROADWAY,10038,2123624165,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70948593,-74.0102402,101,1,1502,1079040,1000640015,MN25,A,2020-01-02T00:00:00.000
COUSINS MAINE LOBSTER,Manhattan,77,LEXINGTON AVENUE,10010,9175133582,Seafood,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,31,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74130801,-73.98341801,106,2,6800,1018118,1008810061,MN21,,
AINSWORTH MIDTOWN,Manhattan,45,EAST   33 STREET,10016,2122011228,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74688804,-73.98294383,105,2,7400,1080794,1008637501,MN17,,
ULTRA SPICY HOUSE,Queens,4409,KISSENA BLVD,11355,6465328877,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.75364137,-73.82249807,407,20,85900,4117221,4051920034,QN22,A,2020-01-02T00:00:00.000
BLEND,Queens,4704,VERNON BOULEVARD,11101,7187292800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,2020-08-17T06:03:08.000,Administrative Miscellaneous / Re-inspection,40.74528782,-73.95325366,402,26,700,4000085,4000290046,QN31,,
EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,83,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,,
H-YARD GOURMET DELI,Manhattan,450,9 AVENUE,10018,2128372896,Delicatessen,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75414089,-73.9957373,104,3,11100,1082258,1007590001,MN13,A,2020-01-02T00:00:00.000
AYURVEDIC PLATE,Brooklyn,1616,CORTELYOU ROAD,11226,7185766335,Indian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.64170376,-73.96331124,314,40,51400,3118752,3051590001,BK42,A,2020-01-02T00:00:00.000
AINSWORTH MIDTOWN,Manhattan,45,EAST   33 STREET,10016,2122011228,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74688804,-73.98294383,105,2,7400,1080794,1008637501,MN17,,
DUNKIN',Staten Island,680,ARTHUR KILL ROAD,10308,7189480600,Donuts,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.56024195,-74.16411287,503,51,14607,5073068,5054940055,SI54,A,2020-01-02T00:00:00.000
NUEVO TULCINGO AZTECA,Bronx,134,EAST  170 STREET,10452,7185880803,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,27,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.83910602,-73.91481371,204,16,22102,2008085,2028420051,BX63,Z,2020-01-02T00:00:00.000
NEW PEKING KITCHEN,Queens,77-15,37 AVENUE,11372,7184269789,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74928369,-73.88874109,403,25,28700,4029588,4012770036,QN28,A,2020-01-02T00:00:00.000
QUEEN BAKERY II,Manhattan,139,CENTRE STREET,10013,2129650788,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,46,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71721016,-74.00060243,101,1,3100,1002357,1001977502,MN24,,
LA TROPEZIENNE BAKERY,Manhattan,2131,1 AVENUE,10029,2128605324,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,25,2020-08-17T06:03:08.000,Pre-permit (Operational) / Second Compliance Inspection,40.79196636,-73.9383632,111,8,18000,1052841,1016810028,MN34,,
LAN KWAI FONG CAFE,Queens,14238,ROOSEVELT AVE,11354,7188868287,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,49,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76067279,-73.82564502,407,20,85500,4113630,4050210021,QN22,,
RED LOBSTER,Manhattan,261,WEST  125 STREET,10027,2122801930,Seafood,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05A,Sewage disposal system improper or unapproved.,Y,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80982675,-73.95033627,110,9,22200,1089941,1019310006,MN11,,
THE LITTLE BEET TABLE,Manhattan,333,PARK AVENUE SOUTH,10010,2124663330,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,14,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74117656,-73.98562656,105,2,6800,1018089,1008800092,MN21,,
GOOD FORTUNE RESTAURANT,Queens,46-45,KISSENA BOULEVARD,11355,7188888998,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74972051,-73.81814146,407,20,120500,4117615,4052080032,QN52,,
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1655,PITKIN AVENUE,11212,7183427576,Caribbean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,32,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.66947235,-73.91216178,316,41,92400,3080746,3034980064,BK81,,
MIKE'S BISTRO,Manhattan,127,EAST   54 STREET,10022,2127993911,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75923709,-73.97109369,105,4,10000,1036480,1013090008,MN19,A,2020-01-02T00:00:00.000
CASA BELLA,Manhattan,127,MULBERRY STREET,10013,2124314080,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71799515,-73.99803755,102,1,4100,1002652,1002060016,MN24,A,2020-01-02T00:00:00.000
LIBERTY TAVERN,Staten Island,382,FOREST AVENUE,10301,7184428121,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.63098142,-74.10211898,501,49,5900,5006935,5002520006,SI35,,
THE WHEELHOUSE,Brooklyn,165,WILSON AVENUE,11237,7184839970,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.69994808,-73.92438703,304,37,42900,3073556,3032350007,BK77,A,2020-01-02T00:00:00.000
WHITE CASTLE,Bronx,1831,WEBSTER AVENUE,10457,7182941205,Hamburgers,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84626485,-73.90175644,205,15,23100,2009388,2028920077,BX41,A,2020-01-02T00:00:00.000
STANTON PIZZERIA,Manhattan,127,STANTON STREET,10002,2125334252,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,38,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.72084894,-73.98655811,103,1,3001,1004312,1003540015,MN27,,
CARIDAD,Bronx,1436,WILLIAMSBRIDGE ROAD,10461,7188928322,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,21,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84304845,-73.84488379,210,13,20000,2114965,2040750003,BX37,,
51ST BAKERY AND CAFE,Queens,5-33,51 AVENUE,11101,7187070554,Bakery,2020-01-02T00:00:00.000,No violations were recorded at the time of this inspection.,,,,,2020-08-17T06:03:16.000,Administrative Miscellaneous / Initial Inspection,40.74242075,-73.95630869,402,26,700,4539348,4000330012,QN31,,
RICHI RICH PALACE,Queens,110-17,ATLANTIC AVENUE,11418,7188057100,Asian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,14,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69193363,-73.8355365,409,28,12601,4195538,4093170021,QN54,,
HURLEY'S SALOON,Manhattan,232,WEST   48 STREET,10036,2127658981,Irish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.7604338,-73.98562239,105,3,12500,1024770,1010190054,MN17,A,2020-01-02T00:00:00.000
"DUNKIN', BASKIN ROBBINS",Bronx,1735,JEROME AVENUE,10453,7187312200,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,4,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.84739345,-73.91257653,205,14,21700,2008365,2028610080,BX36,A,2020-01-02T00:00:00.000
THE HARBOR LIGHT PUB,Queens,12918,NEWPORT AVE,11694,7184742202,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.57773926,-73.84930376,414,32,93401,4304427,4162110047,QN10,A,2020-01-02T00:00:00.000
BUNNY DELI,Manhattan,1522,ST NICHOLAS AVENUE,10033,2127813303,Delicatessen,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.85252514,-73.93137014,112,10,26900,1063788,1021570067,MN35,A,2020-01-02T00:00:00.000
JEFFERIES CAFE (5th Floor),Manhattan,520,MADISON AVE,10022,2127385582,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76009981,-73.97476802,105,4,10200,1035727,1012890014,MN17,A,2020-01-02T00:00:00.000
NFL-HUDDLE CAFE,Manhattan,345,PARK AVENUE,10154,2124502352,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,5,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75816441,-73.97324549,105,4,10000,1036460,1013060001,MN19,A,2020-01-02T00:00:00.000
FULL KEE SEAFOOD RESTURANT,Queens,13614,38TH AVE,11354,7183580666,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76094057,-73.83033342,407,20,87100,4112486,4049780110,QN22,A,2020-01-02T00:00:00.000
SUBWAY,Manhattan,3920,BROADWAY,10032,2127409180,Sandwiches/Salads/Mixed Buffet,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate not held by supervisor of food operations.,Y,53,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83852989,-73.94159418,112,7,24500,1062926,1021220069,MN36,,
KENNEDY FRIED CHICKEN,Bronx,1,EAST BURNSIDE AVENUE,10453,7186693752,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.85376524,-73.90719287,205,14,24100,2013957,2031790001,BX41,A,2020-01-02T00:00:00.000
LA GUALACENA BAR & RESTAURANT,Brooklyn,178,WYCKOFF AVENUE,11237,7184561002,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,20E,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.,N,,2020-08-17T06:03:08.000,Administrative Miscellaneous / Initial Inspection,40.70213514,-73.91577204,304,37,44300,3075165,3032900035,BK77,,
MAMA'S PIZZA CAFE,Manhattan,705,8 AVENUE,10036,2129563400,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.7587516,-73.98869457,104,3,12100,1024991,1010350029,MN15,A,2020-01-02T00:00:00.000
SPICE WORLD,Queens,136-20,ROOSEVELT AVENUE,11354,7185219999,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22,,
NEW CHEUNG CHOW,Queens,2011,NEW HAVEN AVENUE,11691,7184717795,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.60073194,-73.75399575,414,31,99801,4300972,4157600023,QN15,,
LA LECHONERA CRIOLLA,Bronx,1709,WEBSTER AVENUE,10457,7182940500,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84339796,-73.90336181,204,15,16500,2009337,2028890092,BX01,,
THE HOUSE OF BREWS,Manhattan,363,WEST   46 STREET,10036,2122450551,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76050285,-73.98960032,104,3,12700,1025043,1010370006,MN15,,
FIREBALL,Manhattan,3920,BROADWAY,10032,6464100983,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.83852989,-73.94159418,112,7,24500,1062926,1021220069,MN36,N,
SPICE WORLD,Queens,136-20,ROOSEVELT AVENUE,11354,7185219999,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22,,
BASIL BRICK OVEN,Queens,2817,ASTORIA BLVD,11102,7182041205,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77064492,-73.92022681,401,22,6900,4017403,4008390009,QN71,,
BLEND,Queens,4704,VERNON BOULEVARD,11101,7187292800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,41,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.74528782,-73.95325366,402,26,700,4000085,4000290046,QN31,,
NO 8 CHINESE RESTAURANT,Bronx,694,THWAITES PLACE,10467,7186520700,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85857689,-73.86802743,211,15,33201,2049738,2043390012,BX07,,
